card_id,company,card_name,card_type,image_url,link_url
AAP0050,삼성,대한적십자 삼성애니패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0050
AAP0051,삼성,대한적십자 삼성지엔미카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0051
AAP0052,삼성,대현상가삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0052
AAP0053,삼성,더브러삼성빅보너스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0053
AAP0054,삼성,더브러삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0054
AAP0055,삼성,더브러삼성지엔미카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0055
AAP0056,삼성,더샵 삼성지엔미포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0056
AAP0057,삼성,더샵 삼성티클래스앤오일카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0057
AAP0058,삼성,더존삼성비즈니스플래티늄카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0058
AAP0059,삼성,더존삼성빅보너스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0059
AAP0060,삼성,더존삼성애니패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0060
AAP0061,삼성,더존삼성지엔미카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0061
AAP0062,삼성,덴티스트훼미리스카이패스삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0062
AAP0064,삼성,동대문닷컴삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0064
AAP0065,삼성,동대문닷컴삼성애니패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0065
AAP0066,삼성,동대문닷컴삼성티클래스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0066
AAP0067,삼성,동방마트삼성빅보너스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0067
