card_id,company,card_name,card_type,network,is_domestic_foreign,has_transport,annual_fee_dom_basic,annual_fee_dom_premium,annual_fee_for_basic,annual_fee_for_premium,annual_fee_notes,min_performance,summary,image_url,link_url,has_cashback,updated_at
SHC_1228407_2207,신한,신한카드 Point Plan+,신용,VISA,True,True,30000,33000,0,0,"국내 카드 일반: 기본 7,000원 + 서비스 23,000원 = 30,000원 / 비자 카드 Platinum: 기본 7,000원 + 서비스 26,000원 = 33,000원",400000.0,일상 생활비 0.7~3% 적립 / 주말 외식비 최대 5천 포인트 적립 / 공과금·통신·OTT 최대 1만2천 포인트 적립,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPOCDMG.gif,https://www.shinhancard.com/pconts/html/card/apply/credit/1228407_2207.html,False,2026-04-30
SHC_1226113_2207,신한,신한카드 Point Plan,신용,VISA,True,True,20000,0,0,0,"국내 카드 일반: 기본 7,000원 + 서비스 13,000원 = 20,000원 / 비자 카드 일반: 기본 7,000원 + 서비스 16,000원 = 23,000원",400000.0,일상생활비 0.5~3% 적립 / 주말 외식비 포인트 적립 / 정기결제 자동납부 포인트 적립,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPOADHL.gif,https://www.shinhancard.com/pconts/html/card/apply/credit/1226113_2207.html,False,2026-04-30
SHC_1227751_2207,신한,신한카드 SOL트래블,신용,Master,True,True,27000,30000,0,0,"국내 카드 일반: 기본 7,000원 + 서비스 20,000원 = 27,000원 / 마스터 카드 Platinum: 기본 7,000원 + 서비스 23,000원 = 30,000원",,해외 이용·ATM 수수료 면제 / 자유로운 해외 결제 환율 100% 우대 / 국내 이용금액 최대 2% 적립,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBUCDKH.gif,https://www.shinhancard.com/pconts/html/card/apply/credit/1227751_2207.html,False,2026-04-30
SHC_1225714_2206,신한,신한카드 SOL트래블 체크,체크,Master,True,True,0,0,0,0,,,해외 이용 수수료 면제 / 더라운지 본인 무료 입장 / 해외 대중교통 1% 결제일 할인,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCheckBUBDGO.gif,https://www.shinhancard.com/pconts/html/card/apply/check/1225714_2206.html,False,2026-04-30
SHC_1226114_2206,신한,신한카드 Point Plan 체크,체크,VISA,True,True,0,0,0,0,,200000.0,일상생활비 0.2~1% 적립 / 주말 배달앱 포인트 적립 / 편의점 포인트 적립,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCheckPOBDHM.gif,https://www.shinhancard.com/pconts/html/card/apply/check/1226114_2206.html,False,2026-04-30
SHC_1196867_2206,신한,신한카드 Hey Young 체크,체크,VISA,True,False,0,0,0,0,,,생활서비스 최대 5천원 캐시백 / 간편결제서비스 최대 5천원 캐시백 / 해외이용서비스 1.2% 캐시백,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCheckBGGC7Q.png,https://www.shinhancard.com/pconts/html/card/apply/check/1196867_2206.html,True,2026-04-30
