benefit_id,card_id,row_type,benefit_group,benefit_title,benefit_summary,category,category_id,on_offline,benefit_type,benefit_value,benefit_unit,target_merchants,excluded_merchants,performance_level,performance_min,performance_max,min_amount,max_count,max_limit,max_limit_unit,benefit_content,updated_at
ME4_B0024,ME4,상세혜택,M포인트 적립,기본 혜택,,,,Offline,포인트,1.5,%,,,,500000,,,,,,신규 발급 시 발급월 다음 달 이용 건까지는 전월 이용 금액 50만원 미만도 혜택 제공,2026-05-08 13:52:25
ME4_B0025,ME4,상세혜택,M포인트 적립,기본 혜택,,,,Offline,포인트,1.5,%,,,,500000,,,,,,국내외 가맹점은 현대카드 가맹점 등록 기준,2026-05-08 13:52:25
ME4_B0026,ME4,상세혜택,M포인트 적립,추가 혜택,전월 이용 금액 100만원 이상 시온라인 쇼핑몰·일반음식점·해외 가맹점 5% 적립,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,전월 이용 금액 100만원 이상 시,2026-05-08 13:52:25
ME4_B0027,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,온라인 쇼핑몰·일반음식점·해외 가맹점 5% 적립,2026-05-08 13:52:25
ME4_B0028,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,대상점,2026-05-08 13:52:25
ME4_B0029,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,"온라인 쇼핑몰 : 네이버쇼핑, 쿠팡, G마켓, 옥션, 11번가, SSG.COM, 컬리",2026-05-08 13:52:25
ME4_B0030,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,일반음식점,2026-05-08 13:52:25
ME4_B0031,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,해외 가맹점 : 해외 온·오프라인 가맹점,2026-05-08 13:52:25
ME4_B0032,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,"대상점 통합해 월 1만 M포인트 적립 한도(본인+가족 카드 합산 기준, 적립 한도 초과 시 기본 혜택 적립률 적용)",2026-05-08 13:52:25
ME4_B0033,ME4,상세혜택,M포인트 적립,추가 혜택,,"온라인쇼핑, 해외, 외식","1, 19, 16",Both,포인트,5.0,%,"SSG.COM, 네이버쇼핑, 11번가, G마켓, 쿠팡, 옥션, 컬리",쿠팡이츠,,1000000,,,,10000,포인트,신규 발급 시 발급월 다음 달 이용 건까지는 전월 이용 금액 100만원 미만도 혜택 제공,2026-05-08 13:52:25
