card_id,company,card_name,card_type,network,is_domestic_foreign,has_transport,annual_fee_dom_basic,annual_fee_dom_premium,annual_fee_for_basic,annual_fee_for_premium,min_performance,summary,image_url,link_url,has_cashback,updated_at
SHC_1228407_2207,신한,신한카드 Point Plan+,신용,VISA,True,True,30000,33000,0,0,400000.0,일상 생활비 0.7~3% 적립 / 주말 외식비 최대 5천 포인트 적립 / 공과금·통신·OTT 최대 1만2천 포인트 적립,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPOCDMG.gif,https://www.shinhancard.com/pconts/html/card/apply/credit/1228407_2207.html,False,2026-04-19
SHC_1196867_2206,신한,신한카드 Hey Young 체크,체크,VISA,True,False,0,0,0,0,,생활서비스 최대 5천원 캐시백 / 간편결제서비스 최대 5천원 캐시백 / 해외이용서비스 1.2% 캐시백,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCheckBGGC7Q.png,https://www.shinhancard.com/pconts/html/card/apply/check/1196867_2206.html,True,2026-04-19
