card_id,company,card_name,card_type,image_url,link_url
04423,국민,코웨이Ⅱ 카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04423_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04423
04425,국민,LG전자 KB국민카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04425_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04425
04431,국민,GS SHOP KB국민카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04431_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04431
04434,국민,삼성페이 KB국민카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04434_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04434
04444,국민,AK KB국민카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04444_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04444
04451,국민,골든라이프올림카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04451_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04451
04459,국민,E1 LPG KB국민카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04459_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04459
04485,국민,예다함 카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04485_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04485
04491,국민,갤러리아 KB국민카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/04491_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=04491
07986,국민,노리2 체크카드(Play),체크,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/07986_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=07986
07998,국민,노리2 학생증체크카드,체크,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/07998_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=07998
09060,국민,CU KB국민카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09060_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09060
09063,국민,굿데이올림카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09063_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09063
09064,국민,KB국민 Easy shopping카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09064_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09064
09113,국민,KB Pay 챌린지카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09113_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09113
09114,국민,KB Pay 챌린지+카드,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09114_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09114
09115,국민,American Express Blue Card,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09115_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09115
09116,국민,American Express Rose Gold Card,신용,https://img1.kbcard.com/ST/img/cxc/kbcard/upload/img/product/09116_img.png,https://card.kbcard.com/CRD/DVIEW/HCAMCXPRICAC0076?mainCC=a&cooperationcode=09116
