card_id,company,card_name,card_type,network,is_domestic_foreign,has_transport,annual_fee_dom_basic,annual_fee_dom_premium,annual_fee_for_basic,annual_fee_for_premium,annual_fee_notes,min_performance,summary,image_url,link_url,has_cashback,fee_content,updated_at,
MDBI,현대,DB손해보험 현대카드,신용,VISA,TRUE,TRUE,30000,0,30000,0,"(기본연회비 10,000원 + 제휴연회비 20,000원)
가족 카드 10,000원(기본연회비 0원 + 제휴연회비 10,000원)",500000,전월 이용 금액 50만/100만원 이상 시 | 국내외 가맹점 최대 1만 7천원 청구 할인 | 또는 0.5% M포인트 적립,https://www.hyundaicard.com/img/com/card/card_MDBI_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MDBI,TRUE,,2026-06-04 4:04,
MHMFI,현대,현대해상 현대카드,신용,VISA,TRUE,TRUE,30000,0,30000,0,"(기본연회비 10,000원 + 제휴연회비 20,000원)
가족 카드 10,000원(기본연회비 0원 + 제휴연회비 10,000원)",500000,전월 이용 금액 50만/100만원 이상 시 | 국내외 가맹점 최대 1만 7천원 청구 할인 | 또는 0.5% M포인트 적립,https://www.hyundaicard.com/img/com/card/card_MHMFI_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MHMFI,TRUE,,2026-06-04 4:05,
HCH,현대,현대카드H,신용,"VISA,AMEX",TRUE,TRUE,15000,0,15000,0,"(기본연회비 10,000원 + 제휴연회비 5,000원)
가족 카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",400000,교육·병원 10% | 정기결제 5% | 매년 최대 60만원까지 할인,https://www.hyundaicard.com/img/com/card/card_HCH_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCH,TRUE,,2026-06-04 4:06,
HCO,현대,현대카드O,신용,"VISA,AMEX",TRUE,TRUE,15000,0,15000,0,"(기본연회비 10,000원 + 제휴연회비 5,000원)
가족 카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",400000,주유소 어디서나 10% | 정기결제 5% | 매년 최대 60만원까지 할인,https://www.hyundaicard.com/img/com/card/card_HCO_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCO,TRUE,,2026-06-04 4:07,
HCT,현대,현대카드T,신용,VISA,TRUE,TRUE,15000,0,15000,0,"(기본연회비 10,000원 + 제휴연회비 5,000원)
가족 카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",0,"실적·한도 제한 없이 | 해외 2%, 국내 0.7% | 해외결제수수료 100% 할인",https://www.hyundaicard.com/img/com/card/card_HCT_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCT,TRUE,,2026-06-04 4:07,
TRSTE2,현대,the Red Stripe Edition2,신용,VISA,TRUE,TRUE,500000,0,500000,0,"(기본연회비 150,000원 + 제휴연회비 350,000원)
가족카드 150,000원(기본연회비 0원 + 제휴연회비 150,000원)",500000,연간 최대 80만 바우처 제공 | M포인트 또는 마일리지 적립,https://www.hyundaicard.com/img/com/card/card_TRSTE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TRSTE2,FALSE,,2026-06-04 6:01,
BTVV,현대,현대카드 Boutique - Velvet,신용,"VISA,AMEX",TRUE,TRUE,80000,0,80000,0,"(기본연회비 20,000원 + 제휴연회비 60,000원)
가족카드 20,000원(기본연회비 0원 + 제휴연회비 20,000원)",500000,온라인몰·백화점·대형마트·교육 5% 적립 | 호텔·여행·다이닝 5만 크레딧 제공 | 국내외 가맹점 1.5% 적립,https://www.hyundaicard.com/img/com/card/card_BTVV_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=BTVV,FALSE,,2026-06-04 6:02,
SGE2,현대,SSG.COM카드 Edition2,신용,VISA,TRUE,TRUE,10000,0,10000,0,"(기본연회비 10,000원 + 제휴연회비 0원)",300000,SSG MONEY 최대 7% 적립 | 매달 SSG MONEY 3,900원 제공,https://www.hyundaicard.com/img/com/card/card_SGE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SGE2,FALSE,,2026-06-04 6:05
YSHC,현대,예스24 현대카드,신용,VISA,TRUE,TRUE,10000,0,10000,0,"(기본연회비 10,000원 + 제휴연회비 0원)",0,YES24 최대 3% 적립 | 그 외 가맹점 1% 적립,https://www.hyundaicard.com/img/com/card/card_YSHC_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=YSHC,FALSE,,2026-06-04 6:05,
CCM,현대,현대카드 체크(포인트형),체크,VISA,TRUE,TRUE,5000,0,5000,0,"(기본연회비 5,000원 + 제휴연회비 0원)",300000,외식·배달앱·편의점 5% | 국내외 가맹점 0.5% 적립,https://www.hyundaicard.com/img/com/card/card_CCM_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCM,FALSE,,2026-06-04 6:05,
CCD,현대,현대카드 체크(캐시백형),체크,VISA,TRUE,TRUE,5000,0,5000,0,"(기본연회비 5,000원 + 제휴연회비 0원)",300000,외식·배달앱·편의점 3% | 국내외 가맹점 0.3% 캐시백,https://www.hyundaicard.com/img/com/card/card_CCD_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCD,TRUE,,2026-06-04 6:06,
CCMH,현대,현대카드 하이브리드(포인트형),체크,VISA,TRUE,TRUE,5000,0,5000,0,"(기본연회비 5,000원 + 제휴연회비 0원)",300000,외식·배달앱·편의점 5% | 국내외 가맹점 0.5% 적립 | 체크와 신용을 둘다 담은 카드,https://www.hyundaicard.com/img/com/card/card_CCMH_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=CCMH,FALSE,,2026-06-04 6:07,
HCD,현대,현대카드D,신용,"VISA,AMEX",TRUE,TRUE,15000,0,15000,0,"(기본연회비 10,000원 + 제휴연회비 5,000원)
가족 카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",400000,외식·배달앱 10% | 카페·편의점·대중교통 5% | 매년 최대 60만원까지 할인,https://www.hyundaicard.com/img/com/card/card_HCD_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCD,TRUE,,2026-06-04 6:18,
HCS,현대,현대카드S,신용,"VISA,AMEX",TRUE,TRUE,15000,0,15000,0,"(기본연회비 10,000원 + 제휴연회비 5,000원)
가족 카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",400000,온·오프라인 쇼핑 10% | 카페·편의점·대중교통 5% | 매년 최대 60만원까지 할인,https://www.hyundaicard.com/img/com/card/card_HCS_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCS,TRUE,,2026-06-04 6:19,
MLGTE3,현대,LG U+-현대카드M Edition3(통신할인형2.0),신용,"VISA,AMEX",TRUE,TRUE,20000,0,20000,0,"(기본연회비 10,000원 + 제휴연회비 10,000원)
가족카드 10,000원(기본연회비 0원 + 제휴연회비 10,000원)",500000,통신 요금 최대 2만 5천원 할인,https://www.hyundaicard.com/img/com/card/card_MLGTE3_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MLGTE3,TRUE,,2026-06-04 6:26,
MCJE2,현대,The CJ-현대카드M Edition2,신용,VISA,TRUE,TRUE,15000,0,20000,0,"(기본연회비 5,000원 + 제휴연회비 15,000원)
가족카드 연회비 없음",0,CJ ONSTYLE 5% 할인 | CJ 외식가맹점 최대 20% 할인,https://www.hyundaicard.com/img/com/card/card_MCJE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MCJE2,TRUE,,2026-06-04 6:28,
