card_id,company,card_name,card_type,network,is_domestic_foreign,has_transport,annual_fee_dom_basic,annual_fee_dom_premium,annual_fee_for_basic,annual_fee_for_premium,annual_fee_notes,min_performance,summary,image_url,link_url,has_cashback,updated_at
ME4,현대카드,현대카드M,신용,"Visa, Amex",True,False,30000,0,30000,0,(기본연회비 10000원 + 제휴연회비 20000원) 가족카드 10000원,500000,국내외 가맹점 1.5% 적립 / 온라인쇼핑·외식·해외 5% 적립 / 최대 50만 M포인트 긴급적립 / (선지급 포인트 서비스),https://www.hyundaicard.com/img/com/card/card_ME4_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ME4,True,2026-04-21 00:24:21
XPE4,현대카드,현대카드X,신용,"Visa, Amex",True,False,50000,0,50000,0,(기본연회비 20000원 + 제휴연회비 30000원) 가족카드 20000원(기본연회비 0원 + 제휴연회비 20000원),500000,국내외 가맹점 1% 할인 / 연간 최대 10만원 캐시백 / 최대 50만 긴급할인 / (선지급 포인트 서비스),https://www.hyundaicard.com/img/com/card/card_XPE4_BY_f.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=XPE4,True,2026-04-21 00:24:26
MZROE3,현대카드,현대카드ZERO Edition3(포인트형),신용,"Visa, Amex",True,False,15000,0,15000,0,(기본연회비 10000원 + 제휴연회비 5000원) 가족카드 5000원(기본연회비 0원 + 제휴연회비 5000원),0,국내외 가맹점 1.2% M포인트 적립 / 최대 50만 M포인트 긴급적립 / (선지급 포인트 서비스),https://www.hyundaicard.com/img/com/card/card_MZROE3_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MZROE3,True,2026-04-21 00:24:31
